customer_id,customer_segment,region,subscription_plan,signup_date
CUST_00001,small_business,NA,basic,2022-05-18
CUST_00002,individual,NA,premium,2021-06-22
CUST_00003,individual,EU,basic,2022-05-23
CUST_00004,individual,EU,standard,2020-12-29
CUST_00005,small_business,EU,basic,2021-05-08
CUST_00006,individual,LATAM,premium,2022-07-22
CUST_00007,small_business,NA,basic,2020-11-11
CUST_00008,individual,NA,basic,2020-08-17
CUST_00009,individual,NA,basic,2021-09-18
CUST_00010,small_business,MEA,standard,2021-06-15
CUST_00011,individual,EU,premium,2021-12-27
CUST_00012,small_business,APAC,basic,2022-05-13
CUST_00013,enterprise,MEA,premium,2020-07-28
CUST_00014,individual,NA,standard,2021-12-24
CUST_00015,individual,EU,premium,2021-01-13
CUST_00016,government,APAC,standard,2022-07-10
CUST_00017,small_business,NA,standard,2022-03-31
CUST_00018,government,APAC,standard,2021-01-30
CUST_00019,individual,APAC,basic,2020-09-12
CUST_00020,individual,NA,basic,2022-05-30
CUST_00021,enterprise,EU,premium,2022-05-29
CUST_00022,small_business,EU,enterprise,2021-09-19
CUST_00023,individual,NA,premium,2021-06-29
CUST_00024,individual,EU,premium,2021-11-19
CUST_00025,individual,MEA,basic,2021-08-14
CUST_00026,individual,NA,basic,2021-03-30
CUST_00027,individual,APAC,standard,2021-12-03
CUST_00028,individual,MEA,standard,2021-06-14
CUST_00029,enterprise,NA,premium,2021-02-02
CUST_00030,enterprise,APAC,premium,2022-01-18
CUST_00031,individual,EU,standard,2020-12-23
CUST_00032,enterprise,NA,standard,2022-07-03
CUST_00033,small_business,NA,standard,2020-08-23
CUST_00034,small_business,EU,basic,2020-11-12
CUST_00035,individual,MEA,enterprise,2023-01-01
CUST_00036,small_business,EU,basic,2021-12-26
CUST_00037,enterprise,APAC,standard,2022-11-03
CUST_00038,individual,EU,basic,2020-12-13
CUST_00039,small_business,NA,premium,2020-11-08
CUST_00040,individual,APAC,enterprise,2022-07-16
CUST_00041,individual,LATAM,standard,2022-05-30
CUST_00042,enterprise,APAC,premium,2021-01-01
CUST_00043,individual,MEA,standard,2021-10-10
CUST_00044,enterprise,EU,basic,2022-10-28
CUST_00045,individual,EU,basic,2022-05-21
CUST_00046,individual,APAC,basic,2022-10-24
CUST_00047,enterprise,LATAM,basic,2022-05-03
CUST_00048,individual,EU,standard,2020-12-22
CUST_00049,government,EU,standard,2020-10-20
CUST_00050,small_business,EU,basic,2021-02-26
CUST_00051,individual,EU,standard,2020-12-16
CUST_00052,individual,APAC,standard,2022-10-31
CUST_00053,individual,NA,premium,2022-04-22
CUST_00054,individual,EU,basic,2022-06-28
CUST_00055,individual,NA,enterprise,2021-10-05
CUST_00056,enterprise,LATAM,basic,2021-03-05
CUST_00057,government,APAC,enterprise,2020-11-21
CUST_00058,enterprise,NA,standard,2022-05-28
CUST_00059,enterprise,LATAM,basic,2022-12-30
CUST_00060,government,NA,premium,2021-09-23
CUST_00061,individual,APAC,premium,2020-10-21
CUST_00062,small_business,APAC,basic,2022-03-04
CUST_00063,individual,NA,premium,2022-10-31
CUST_00064,small_business,NA,standard,2021-08-05
CUST_00065,enterprise,EU,basic,2021-07-30
CUST_00066,individual,NA,standard,2021-02-09
CUST_00067,enterprise,EU,enterprise,2021-05-28
CUST_00068,individual,EU,standard,2021-10-29
CUST_00069,small_business,EU,standard,2022-04-09
CUST_00070,individual,APAC,basic,2021-11-22
CUST_00071,individual,APAC,standard,2020-11-23
CUST_00072,government,NA,standard,2021-06-04
CUST_00073,government,NA,basic,2022-04-05
CUST_00074,individual,NA,basic,2022-04-26
CUST_00075,individual,NA,premium,2021-01-11
CUST_00076,individual,MEA,premium,2021-07-09
CUST_00077,individual,APAC,basic,2021-02-21
CUST_00078,individual,LATAM,basic,2022-09-14
CUST_00079,small_business,NA,basic,2022-05-31
CUST_00080,small_business,NA,standard,2022-04-06
CUST_00081,small_business,NA,enterprise,2022-11-10
CUST_00082,individual,EU,basic,2022-12-29
CUST_00083,individual,NA,enterprise,2022-07-20
CUST_00084,small_business,EU,standard,2022-12-23
CUST_00085,individual,LATAM,premium,2022-08-02
CUST_00086,small_business,APAC,standard,2022-08-03
CUST_00087,individual,NA,standard,2020-10-08
CUST_00088,government,NA,standard,2021-02-02
CUST_00089,individual,NA,premium,2020-07-20
CUST_00090,individual,EU,basic,2022-05-04
CUST_00091,enterprise,MEA,premium,2021-11-05
CUST_00092,individual,APAC,standard,2021-11-06
CUST_00093,enterprise,LATAM,premium,2022-04-03
CUST_00094,individual,APAC,standard,2022-11-23
CUST_00095,enterprise,NA,premium,2021-09-17
CUST_00096,individual,APAC,premium,2022-05-18
CUST_00097,individual,NA,standard,2020-07-30
CUST_00098,individual,APAC,standard,2021-07-29
CUST_00099,individual,MEA,standard,2022-12-04
CUST_00100,individual,MEA,basic,2022-04-05
CUST_00101,individual,EU,standard,2020-10-18
CUST_00102,individual,EU,standard,2021-12-03
CUST_00103,enterprise,NA,basic,2021-10-12
CUST_00104,individual,LATAM,standard,2020-12-26
CUST_00105,government,APAC,basic,2021-10-17
CUST_00106,individual,APAC,standard,2022-02-14
CUST_00107,small_business,NA,enterprise,2021-07-31
CUST_00108,individual,EU,standard,2022-03-05
CUST_00109,small_business,NA,premium,2021-12-09
CUST_00110,small_business,LATAM,standard,2022-02-27
CUST_00111,individual,APAC,standard,2022-05-31
CUST_00112,individual,EU,premium,2021-09-12
CUST_00113,individual,APAC,standard,2020-10-11
CUST_00114,enterprise,APAC,basic,2022-10-07
CUST_00115,individual,APAC,standard,2022-09-28
CUST_00116,enterprise,APAC,premium,2022-05-16
CUST_00117,enterprise,NA,basic,2021-09-02
CUST_00118,small_business,APAC,standard,2021-03-28
CUST_00119,small_business,APAC,standard,2021-11-18
CUST_00120,individual,APAC,basic,2020-11-24
CUST_00121,enterprise,LATAM,premium,2022-05-22
CUST_00122,individual,MEA,standard,2022-11-11
CUST_00123,small_business,LATAM,basic,2022-08-18
CUST_00124,enterprise,APAC,enterprise,2021-05-02
CUST_00125,individual,APAC,standard,2020-09-19
CUST_00126,small_business,EU,premium,2021-06-19
CUST_00127,individual,NA,premium,2021-09-28
CUST_00128,individual,NA,standard,2020-11-08
CUST_00129,enterprise,EU,basic,2021-10-08
CUST_00130,individual,NA,basic,2022-02-08
CUST_00131,enterprise,NA,basic,2021-12-05
CUST_00132,small_business,APAC,basic,2021-11-10
CUST_00133,individual,EU,basic,2020-09-01
CUST_00134,individual,LATAM,standard,2021-01-19
CUST_00135,individual,LATAM,standard,2021-08-31
CUST_00136,individual,EU,premium,2020-08-11
CUST_00137,enterprise,APAC,standard,2020-12-10
CUST_00138,small_business,EU,basic,2022-05-22
CUST_00139,individual,EU,standard,2021-02-16
CUST_00140,small_business,EU,basic,2021-09-10
CUST_00141,enterprise,MEA,standard,2021-11-24
CUST_00142,small_business,APAC,basic,2021-10-20
CUST_00143,individual,EU,basic,2021-12-09
CUST_00144,individual,EU,standard,2020-07-15
CUST_00145,individual,APAC,premium,2022-04-18
CUST_00146,enterprise,EU,premium,2022-11-09
CUST_00147,government,NA,premium,2020-10-24
CUST_00148,government,NA,basic,2022-04-23
CUST_00149,individual,NA,basic,2022-08-25
CUST_00150,small_business,NA,enterprise,2021-09-12
CUST_00151,small_business,APAC,basic,2021-04-20
CUST_00152,government,APAC,premium,2022-07-18
CUST_00153,government,NA,basic,2022-02-16
CUST_00154,small_business,LATAM,standard,2020-12-30
CUST_00155,individual,EU,premium,2022-04-28
CUST_00156,individual,APAC,premium,2021-04-27
CUST_00157,enterprise,APAC,standard,2022-11-20
CUST_00158,individual,EU,standard,2021-08-01
CUST_00159,small_business,NA,standard,2021-08-18
CUST_00160,individual,MEA,standard,2020-09-05
CUST_00161,small_business,NA,basic,2021-07-16
CUST_00162,government,NA,premium,2021-06-29
CUST_00163,enterprise,EU,premium,2021-05-05
CUST_00164,individual,LATAM,premium,2022-10-05
CUST_00165,individual,EU,premium,2021-05-28
CUST_00166,small_business,EU,basic,2020-08-13
CUST_00167,individual,EU,standard,2022-04-12
CUST_00168,individual,LATAM,premium,2022-03-25
CUST_00169,small_business,EU,basic,2022-04-29
CUST_00170,small_business,EU,premium,2021-01-24
CUST_00171,small_business,APAC,standard,2022-12-15
CUST_00172,individual,NA,premium,2022-02-22
CUST_00173,small_business,EU,standard,2022-01-14
CUST_00174,individual,APAC,standard,2021-01-12
CUST_00175,small_business,NA,basic,2020-12-24
CUST_00176,individual,NA,standard,2020-11-12
CUST_00177,small_business,NA,premium,2022-03-24
CUST_00178,small_business,MEA,standard,2022-03-18
CUST_00179,government,APAC,basic,2021-12-28
CUST_00180,individual,NA,standard,2022-03-27
CUST_00181,individual,NA,basic,2022-08-25
CUST_00182,small_business,APAC,basic,2022-12-20
CUST_00183,small_business,EU,standard,2022-06-27
CUST_00184,government,NA,premium,2022-09-07
CUST_00185,enterprise,EU,basic,2021-03-28
CUST_00186,small_business,NA,premium,2022-02-24
CUST_00187,individual,NA,standard,2021-11-01
CUST_00188,small_business,APAC,basic,2021-07-15
CUST_00189,individual,LATAM,basic,2021-05-09
CUST_00190,government,NA,standard,2021-04-17
CUST_00191,government,NA,premium,2021-04-01
CUST_00192,individual,APAC,basic,2022-07-08
CUST_00193,small_business,NA,standard,2021-01-26
CUST_00194,small_business,NA,basic,2021-01-08
CUST_00195,individual,LATAM,basic,2022-05-07
CUST_00196,enterprise,APAC,standard,2021-02-23
CUST_00197,enterprise,NA,basic,2022-05-16
CUST_00198,small_business,LATAM,premium,2022-10-20
CUST_00199,individual,APAC,standard,2020-09-09
CUST_00200,small_business,NA,basic,2021-01-26
CUST_00201,individual,EU,basic,2021-06-28
CUST_00202,small_business,NA,basic,2021-10-16
CUST_00203,small_business,EU,basic,2022-05-12
CUST_00204,government,APAC,standard,2022-12-11
CUST_00205,government,APAC,basic,2022-11-21
CUST_00206,enterprise,NA,standard,2021-10-06
CUST_00207,enterprise,NA,standard,2021-03-22
CUST_00208,enterprise,MEA,standard,2021-11-09
CUST_00209,individual,APAC,premium,2022-01-29
CUST_00210,individual,EU,premium,2021-11-17
CUST_00211,enterprise,EU,standard,2022-02-13
CUST_00212,individual,NA,premium,2020-07-30
CUST_00213,small_business,MEA,premium,2021-06-25
CUST_00214,small_business,NA,standard,2021-04-04
CUST_00215,enterprise,EU,premium,2022-06-07
CUST_00216,individual,NA,basic,2021-01-16
CUST_00217,small_business,NA,standard,2020-10-05
CUST_00218,individual,NA,standard,2021-06-15
CUST_00219,individual,NA,premium,2022-09-07
CUST_00220,small_business,NA,premium,2021-08-09
CUST_00221,government,NA,premium,2021-11-02
CUST_00222,enterprise,MEA,basic,2021-06-16
CUST_00223,individual,NA,standard,2020-11-28
CUST_00224,enterprise,LATAM,basic,2020-10-15
CUST_00225,enterprise,NA,premium,2022-04-03
