date,year,month,month_name,day,weekday,quarter,is_weekend
2023-01-01,2023,2023-01,January,1,Sunday,Q1,True
2023-01-02,2023,2023-01,January,2,Monday,Q1,False
2023-01-03,2023,2023-01,January,3,Tuesday,Q1,False
2023-01-04,2023,2023-01,January,4,Wednesday,Q1,False
2023-01-05,2023,2023-01,January,5,Thursday,Q1,False
2023-01-06,2023,2023-01,January,6,Friday,Q1,False
2023-01-07,2023,2023-01,January,7,Saturday,Q1,True
2023-01-08,2023,2023-01,January,8,Sunday,Q1,True
2023-01-09,2023,2023-01,January,9,Monday,Q1,False
2023-01-10,2023,2023-01,January,10,Tuesday,Q1,False
2023-01-11,2023,2023-01,January,11,Wednesday,Q1,False
2023-01-12,2023,2023-01,January,12,Thursday,Q1,False
2023-01-13,2023,2023-01,January,13,Friday,Q1,False
2023-01-14,2023,2023-01,January,14,Saturday,Q1,True
2023-01-15,2023,2023-01,January,15,Sunday,Q1,True
2023-01-16,2023,2023-01,January,16,Monday,Q1,False
2023-01-17,2023,2023-01,January,17,Tuesday,Q1,False
2023-01-18,2023,2023-01,January,18,Wednesday,Q1,False
2023-01-19,2023,2023-01,January,19,Thursday,Q1,False
2023-01-20,2023,2023-01,January,20,Friday,Q1,False
2023-01-21,2023,2023-01,January,21,Saturday,Q1,True
2023-01-22,2023,2023-01,January,22,Sunday,Q1,True
2023-01-23,2023,2023-01,January,23,Monday,Q1,False
2023-01-24,2023,2023-01,January,24,Tuesday,Q1,False
2023-01-25,2023,2023-01,January,25,Wednesday,Q1,False
2023-01-26,2023,2023-01,January,26,Thursday,Q1,False
2023-01-27,2023,2023-01,January,27,Friday,Q1,False
2023-01-28,2023,2023-01,January,28,Saturday,Q1,True
2023-01-29,2023,2023-01,January,29,Sunday,Q1,True
2023-01-30,2023,2023-01,January,30,Monday,Q1,False
2023-01-31,2023,2023-01,January,31,Tuesday,Q1,False
2023-02-01,2023,2023-02,February,1,Wednesday,Q1,False
2023-02-02,2023,2023-02,February,2,Thursday,Q1,False
2023-02-03,2023,2023-02,February,3,Friday,Q1,False
2023-02-04,2023,2023-02,February,4,Saturday,Q1,True
2023-02-05,2023,2023-02,February,5,Sunday,Q1,True
2023-02-06,2023,2023-02,February,6,Monday,Q1,False
2023-02-07,2023,2023-02,February,7,Tuesday,Q1,False
2023-02-08,2023,2023-02,February,8,Wednesday,Q1,False
2023-02-09,2023,2023-02,February,9,Thursday,Q1,False
2023-02-10,2023,2023-02,February,10,Friday,Q1,False
2023-02-11,2023,2023-02,February,11,Saturday,Q1,True
2023-02-12,2023,2023-02,February,12,Sunday,Q1,True
2023-02-13,2023,2023-02,February,13,Monday,Q1,False
2023-02-14,2023,2023-02,February,14,Tuesday,Q1,False
2023-02-15,2023,2023-02,February,15,Wednesday,Q1,False
2023-02-16,2023,2023-02,February,16,Thursday,Q1,False
2023-02-17,2023,2023-02,February,17,Friday,Q1,False
2023-02-18,2023,2023-02,February,18,Saturday,Q1,True
2023-02-19,2023,2023-02,February,19,Sunday,Q1,True
2023-02-20,2023,2023-02,February,20,Monday,Q1,False
2023-02-21,2023,2023-02,February,21,Tuesday,Q1,False
2023-02-22,2023,2023-02,February,22,Wednesday,Q1,False
2023-02-23,2023,2023-02,February,23,Thursday,Q1,False
2023-02-24,2023,2023-02,February,24,Friday,Q1,False
2023-02-25,2023,2023-02,February,25,Saturday,Q1,True
2023-02-26,2023,2023-02,February,26,Sunday,Q1,True
2023-02-27,2023,2023-02,February,27,Monday,Q1,False
2023-02-28,2023,2023-02,February,28,Tuesday,Q1,False
2023-03-01,2023,2023-03,March,1,Wednesday,Q1,False
2023-03-02,2023,2023-03,March,2,Thursday,Q1,False
2023-03-03,2023,2023-03,March,3,Friday,Q1,False
2023-03-04,2023,2023-03,March,4,Saturday,Q1,True
2023-03-05,2023,2023-03,March,5,Sunday,Q1,True
2023-03-06,2023,2023-03,March,6,Monday,Q1,False
2023-03-07,2023,2023-03,March,7,Tuesday,Q1,False
2023-03-08,2023,2023-03,March,8,Wednesday,Q1,False
2023-03-09,2023,2023-03,March,9,Thursday,Q1,False
2023-03-10,2023,2023-03,March,10,Friday,Q1,False
2023-03-11,2023,2023-03,March,11,Saturday,Q1,True
2023-03-12,2023,2023-03,March,12,Sunday,Q1,True
2023-03-13,2023,2023-03,March,13,Monday,Q1,False
2023-03-14,2023,2023-03,March,14,Tuesday,Q1,False
2023-03-15,2023,2023-03,March,15,Wednesday,Q1,False
2023-03-16,2023,2023-03,March,16,Thursday,Q1,False
2023-03-17,2023,2023-03,March,17,Friday,Q1,False
2023-03-18,2023,2023-03,March,18,Saturday,Q1,True
2023-03-19,2023,2023-03,March,19,Sunday,Q1,True
2023-03-20,2023,2023-03,March,20,Monday,Q1,False
2023-03-21,2023,2023-03,March,21,Tuesday,Q1,False
2023-03-22,2023,2023-03,March,22,Wednesday,Q1,False
2023-03-23,2023,2023-03,March,23,Thursday,Q1,False
2023-03-24,2023,2023-03,March,24,Friday,Q1,False
2023-03-25,2023,2023-03,March,25,Saturday,Q1,True
2023-03-26,2023,2023-03,March,26,Sunday,Q1,True
